iter	Passed	Remaining
215	5919	7783
216	5954	7765
217	5969	7721
218	5984	7678
219	6008	7646
220	6034	7618
221	6060	7588
222	6108	7588
223	6153	7581
224	6179	7552
225	6198	7515
226	6211	7470
227	6224	7425
228	6268	7418
229	6313	7412
230	6327	7368
231	6340	7324
232	6354	7282
233	6370	7241
234	6384	7199
235	6398	7158
236	6416	7120
237	6433	7082
238	6451	7045
239	6468	7007
240	6486	6970
241	6509	6939
242	6533	6909
243	6558	6880
244	6583	6851
245	6596	6810
246	6608	6768
247	6657	6764
248	6702	6756
249	6717	6717
250	6732	6678
251	6747	6640
252	6762	6602
253	6777	6564
254	6794	6528
255	6812	6493
256	6830	6458
257	6847	6423
258	6864	6387
259	6895	6365
260	6940	6355
261	6971	6332
262	6988	6297
263	7000	6258
264	7013	6219
265	7027	6182
266	7046	6149
267	7061	6112
268	7075	6075
269	7090	6040
270	7106	6005
271	7123	5971
272	7142	5938
273	7159	5905
274	7177	5872
275	7194	5838
276	7218	5811
277	7242	5783
278	7267	5756
279	7291	5729
280	7304	5692
281	7319	5658
282	7392	5668
283	7418	5642
284	7434	5608
285	7476	5594
286	7521	5582
287	7544	5553
288	7560	5519
289	7573	5484
290	7591	5452
291	7634	5438
292	7677	5423
293	7694	5391
294	7708	5357
295	7726	5324
296	7741	5291
297	7755	5257
298	7770	5223
299	7784	5189
300	7800	5157
301	7818	5125
302	7836	5094
303	7853	5063
304	7871	5032
305	7904	5011
306	7948	4996
307	7980	4975
308	7997	4943
309	8011	4910
310	8022	4875
311	8046	4848
312	8092	4835
313	8125	4813
314	8140	4780
315	8156	4749
316	8172	4717
317	8187	4685
318	8201	4653
319	8218	4622
320	8235	4592
321	8253	4562
322	8270	4532
323	8287	4501
324	8324	4482
325	8369	4467
326	8399	4443
327	8420	4415
328	8438	4386
329	8452	4354
330	8465	4322
331	8494	4298
332	8541	4283
333	8611	4280
334	8634	4252
335	8660	4227
336	8683	4200
337	8697	4168
338	8709	4136
339	8755	4120
340	8800	4103
341	8817	4073
342	8832	4042
343	8843	4010
344	8854	3978
345	8883	3954
346	8933	3938
347	8957	3912
348	8973	3882
349	9010	3861
350	9056	3844
351	9075	3816
352	9090	3785
353	9120	3761
354	9166	3743
355	9196	3720
356	9215	3691
357	9227	3660
358	9239	3628
359	9262	3602
360	9316	3587
361	9348	3563
362	9368	3535
363	9383	3506
364	9398	3476
365	9410	3445
366	9422	3414
367	9478	3399
368	9521	3380
369	9537	3350
370	9549	3320
371	9562	3290
372	9582	3262
373	9613	3238
374	9629	3209
375	9646	3181
376	9661	3152
377	9679	3124
378	9698	3096
379	9716	3068
380	9732	3039
381	9750	3011
382	9796	2992
383	9840	2972
384	9856	2944
385	9871	2915
386	9886	2886
387	9901	2858
388	9947	2838
389	9990	2817
390	10007	2789
391	10021	2760
392	10034	2732
393	10048	2703
394	10096	2683
395	10136	2662
396	10152	2633
397	10168	2605
398	10216	2586
399	10256	2564
400	10279	2537
401	10292	2509
402	10303	2479
403	10314	2450
404	10364	2431
405	10406	2409
406	10427	2382
407	10441	2354
408	10453	2325
409	10477	2299
410	10523	2278
411	10558	2255
412	10572	2227
413	10606	2203
414	10656	2182
415	10679	2156
416	10690	2127
417	10711	2101
418	10754	2079
419	10795	2056
420	10812	2028
421	10827	2001
422	10842	1973
423	10859	1946
424	10874	1919
425	10890	1891
426	10906	1864
427	10925	1837
428	10942	1811
429	10960	1784
430	10980	1757
431	11011	1733
432	11062	1711
433	11095	1687
434	11111	1660
435	11124	1632
436	11154	1608
437	11199	1585
438	11215	1558
439	11233	1531
440	11261	1506
441	11280	1480
442	11300	1453
443	11330	1429
444	11398	1408
445	11424	1383
446	11447	1357
447	11460	1330
448	11472	1303
449	11520	1280
450	11562	1256
451	11579	1229
452	11598	1203
453	11610	1176
454	11639	1151
455	11685	1127
456	11716	1102
457	11732	1075
458	11748	1049
459	11762	1022
460	11798	998
461	11844	974
462	11866	948
463	11883	921
464	11894	895
465	11907	868
466	11934	843
467	11979	819
468	12012	794
469	12030	767
470	12043	741
471	12056	715
472	12077	689
473	12125	665
474	12164	640
475	12182	614
476	12195	588
477	12208	561
478	12255	537
479	12300	512
480	12317	486
481	12328	460
482	12366	435
483	12415	410
484	12434	384
485	12449	358
486	12499	333
487	12541	308
488	12558	282
489	12572	256
490	12584	230
491	12598	204
492	12627	179
493	12642	153
494	12656	127
495	12671	102
496	12688	76
497	12706	51
498	12729	25
499	12746	0
