iter	RMSE
246	1.08520633
247	1.082648104
248	1.081493564
249	1.080880168
250	1.080158862
251	1.078054192
252	1.077165734
253	1.076168759
254	1.074457211
255	1.07304619
256	1.071971916
257	1.070931167
258	1.070695679
259	1.069271785
260	1.06838505
261	1.067625148
262	1.066239017
263	1.065561846
264	1.064971674
265	1.064568
266	1.063934375
267	1.063403537
268	1.06291761
269	1.062435049
270	1.061331354
271	1.060680934
272	1.060136441
273	1.058616582
274	1.057309672
275	1.056275811
276	1.054993059
277	1.053902875
278	1.052454456
279	1.051464519
280	1.050756358
281	1.050050745
282	1.049102844
283	1.048324167
284	1.047272262
285	1.045917384
286	1.044500125
287	1.04365998
288	1.042430331
289	1.040502167
290	1.039561893
291	1.03871352
292	1.038099452
293	1.037038856
294	1.036026713
295	1.03568508
296	1.034631698
297	1.033825834
298	1.033427365
299	1.032113807
300	1.030846611
301	1.030094537
302	1.029176465
303	1.027986386
304	1.027102331
305	1.026067917
306	1.025168067
307	1.023857319
308	1.022169656
309	1.021515457
310	1.020561765
311	1.019963961
312	1.018823282
313	1.017456748
314	1.016740082
315	1.015905336
316	1.014499222
317	1.013302408
318	1.012012831
319	1.010589279
320	1.009577583
321	1.008759211
322	1.007517177
323	1.007038056
324	1.006167907
325	1.004277653
326	1.003772655
327	1.00303602
328	1.001946867
329	1.001277833
330	1.000348224
331	0.9997110783
332	0.9981994392
333	0.9974489802
334	0.9966359277
335	0.996104836
336	0.9945051933
337	0.9933835735
338	0.9926031426
339	0.9914768962
340	0.9909309117
341	0.9902280127
342	0.9895489029
343	0.9878434856
344	0.987423201
345	0.9867839548
346	0.9851860923
347	0.9843060304
348	0.9828046563
349	0.9818057288
350	0.9806988222
351	0.9804762099
352	0.9793658609
353	0.9790703887
354	0.9788047714
355	0.9780695606
356	0.9770705186
357	0.976196637
358	0.975361968
359	0.9748432344
360	0.9733619126
361	0.9725362114
362	0.9710325881
363	0.9696680295
364	0.969194106
365	0.9670539267
366	0.9664816803
367	0.9660434155
368	0.9650716362
369	0.9643413053
370	0.9631459962
371	0.9625012811
372	0.9618146398
373	0.9609040563
374	0.9600042215
375	0.9595748445
376	0.9586578121
377	0.9576337369
378	0.9567700165
379	0.9560025238
380	0.9552678904
381	0.9551758616
382	0.9544593484
383	0.9529822623
384	0.9518274901
385	0.9507980377
386	0.9499994269
387	0.9494649234
388	0.9488588131
389	0.9483890033
390	0.9462367908
391	0.9456285507
392	0.9451916666
393	0.9446198716
394	0.9443219815
395	0.9432103763
396	0.9418372384
397	0.9408980029
398	0.9403188804
399	0.9395745105
400	0.9381560636
401	0.9373719253
402	0.9366399928
403	0.9358480559
404	0.9353909463
405	0.9339517704
406	0.9329324986
407	0.9324363295
408	0.931321135
409	0.9301475367
410	0.9293647407
411	0.9284594537
412	0.9278221295
413	0.9270569466
414	0.9263504125
415	0.925732747
416	0.9246532097
417	0.9236959478
418	0.9229808224
419	0.9221763985
420	0.9215975884
421	0.920603056
422	0.9198780938
423	0.9188598401
424	0.9184540372
425	0.917551521
426	0.9170750242
427	0.9163992036
428	0.9150332779
429	0.913573702
430	0.9132128008
431	0.9124640357
432	0.9119234703
433	0.9104004526
434	0.9098220844
435	0.9091052051
436	0.9082572194
437	0.9073306661
438	0.9068928355
439	0.9061434303
440	0.9053898778
441	0.9036660334
442	0.9029881681
443	0.9021701144
444	0.9012633693
445	0.9001743713
446	0.8996793463
447	0.8990714376
448	0.898067677
449	0.8967511599
450	0.8959012447
451	0.8948408141
452	0.8939488891
453	0.8932289593
454	0.8920798397
455	0.8912428529
456	0.8907517733
457	0.8902470635
458	0.8897075508
459	0.8886447387
460	0.8877147538
461	0.8871059878
462	0.8863599044
463	0.8856347085
464	0.8852817659
465	0.884283636
466	0.8840713311
467	0.8831449522
468	0.8824534846
469	0.8813217843
470	0.8806567397
471	0.8802083269
472	0.8786686882
473	0.8775924376
474	0.8770725714
475	0.8756761947
476	0.8753312298
477	0.874661734
478	0.874197852
479	0.8734255134
480	0.872571313
481	0.8719339366
482	0.8710658131
483	0.8702275732
484	0.8698029868
485	0.8686888734
486	0.8682078035
487	0.8677367188
488	0.8674257562
489	0.8668755439
490	0.8662887276
491	0.8656295837
492	0.8649752651
493	0.8640855965
494	0.8634622379
495	0.862694776
496	0.8613514913
497	0.8608727899
498	0.8603907533
499	0.8598347315
