iter	RMSE
0	2.173655853
1	2.124026114
2	2.076542462
3	2.034920735
4	1.994239504
5	1.957679805
6	1.92242906
7	1.887791901
8	1.855469111
9	1.823587446
10	1.794640032
11	1.766632238
12	1.74158063
13	1.717735162
14	1.695975456
15	1.676046326
16	1.657306447
17	1.640071503
18	1.624111616
19	1.60906852
20	1.594933857
21	1.580711231
22	1.567024128
23	1.554757734
24	1.542988157
25	1.531492238
26	1.521104266
27	1.511552187
28	1.502270911
29	1.492962579
30	1.48307061
31	1.474506827
32	1.467511804
33	1.460247837
34	1.453760334
35	1.446235924
36	1.43939558
37	1.433242457
38	1.427758091
39	1.421968498
40	1.417009924
41	1.4120991
42	1.40748722
43	1.402923149
44	1.397326017
45	1.39343379
46	1.388698232
47	1.384938726
48	1.382131029
49	1.378907798
50	1.374285348
51	1.370476843
52	1.366279949
53	1.36379487
54	1.361623576
55	1.358666789
56	1.355389585
57	1.351449586
58	1.349388224
59	1.346029077
60	1.343115271
61	1.34004945
62	1.338168368
63	1.33605065
64	1.333531414
65	1.330994038
66	1.328221104
67	1.325990384
68	1.324197288
69	1.322569956
70	1.31921363
71	1.317891526
72	1.315878624
73	1.313548707
74	1.311881286
75	1.309925389
76	1.306447608
77	1.304900803
78	1.302456989
79	1.301042824
80	1.29978829
81	1.298797567
82	1.297419392
83	1.295814408
84	1.293492797
85	1.29219964
86	1.290699307
87	1.288947463
88	1.287434846
89	1.284715783
90	1.28218253
91	1.281029868
92	1.278972726
93	1.276153728
94	1.274911908
95	1.273602537
96	1.271819708
97	1.270452339
98	1.269446873
99	1.267252916
100	1.265911881
101	1.264910499
102	1.263480832
103	1.261830582
104	1.259973006
105	1.258261431
106	1.256532685
107	1.254462915
108	1.252220054
109	1.250837864
110	1.24983919
111	1.248434415
112	1.24676212
113	1.245149793
114	1.243086105
115	1.242412355
116	1.241340511
117	1.240100096
118	1.238661116
119	1.236239729
120	1.234139826
121	1.232702911
122	1.230993248
123	1.229010902
124	1.227588367
125	1.224943012
126	1.224131525
127	1.222699338
128	1.221894702
129	1.220254329
130	1.219556654
131	1.218656975
132	1.217896305
133	1.216439697
134	1.215402046
135	1.213220442
136	1.212156932
137	1.211425277
138	1.209874292
139	1.208524266
140	1.207332909
141	1.206493514
142	1.205388781
143	1.203136078
144	1.201662743
145	1.200024624
146	1.19953667
147	1.198063831
148	1.196582857
149	1.195276232
150	1.193843649
151	1.192932051
152	1.191596033
153	1.19046537
154	1.189320388
155	1.188402568
156	1.186357635
157	1.185886011
158	1.183701119
159	1.18252601
160	1.180679323
161	1.179079621
162	1.178098489
163	1.176032715
164	1.175511212
165	1.17429736
166	1.173364102
167	1.172652939
168	1.17128927
169	1.170101825
170	1.167419974
171	1.166285621
172	1.164708083
173	1.164021108
174	1.162681553
175	1.159741628
176	1.158566417
177	1.157221457
178	1.15628654
179	1.155554346
180	1.154724806
181	1.153942587
182	1.153350109
183	1.152588728
184	1.150220336
185	1.149306915
186	1.148439717
187	1.147704999
188	1.146281037
189	1.14536298
190	1.143503694
191	1.142904871
192	1.141818155
193	1.139499461
194	1.13882971
195	1.1376879
196	1.137236392
197	1.136225961
198	1.13492425
199	1.134437821
200	1.132912984
201	1.131835743
202	1.131143299
203	1.130005347
204	1.128084594
205	1.126953492
206	1.12558693
207	1.124685225
208	1.123561704
209	1.122132841
210	1.121220754
211	1.119414941
212	1.118760418
213	1.117791863
214	1.117152203
215	1.116577176
216	1.115952378
217	1.114867759
218	1.113069475
219	1.1114073
220	1.110780666
221	1.109665502
222	1.108389163
223	1.107229427
224	1.106149544
225	1.105332074
226	1.10391774
227	1.103444404
228	1.102338843
229	1.101606533
230	1.100956797
231	1.100534564
232	1.099689819
233	1.098517084
234	1.09731059
235	1.095961902
236	1.09496758
237	1.093773559
238	1.092989415
239	1.092060588
240	1.090699151
241	1.090262728
242	1.08950027
243	1.088777888
244	1.088055946
245	1.087033145
